"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 28, 2021","2,563.3181","2,568.9792","2,578.0972","2,558.7312","-","-0.21%"
"Jun 25, 2021","2,568.6460","2,562.1443","2,573.4114","2,541.4668","-","0.25%"
"Jun 24, 2021","2,562.1931","2,560.7932","2,563.0129","2,535.4448","-","0.05%"
"Jun 23, 2021","2,560.7900","2,546.2522","2,582.5493","2,545.6672","-","0.57%"
"Jun 22, 2021","2,546.2490","2,547.4290","2,560.3301","2,536.3828","-","-0.03%"
"Jun 21, 2021","2,547.1021","2,522.7112","2,548.6084","2,497.7217","-","1.06%"
"Jun 18, 2021","2,520.4819","2,498.6482","2,527.9055","2,485.9255","-","0.88%"
"Jun 17, 2021","2,498.5430","2,565.6619","2,565.6619","2,483.0210","-","-2.73%"
"Jun 16, 2021","2,568.7019","2,567.5574","2,587.1980","2,562.2480","-","0.06%"
"Jun 15, 2021","2,567.2451","2,566.6685","2,573.5198","2,553.4248","-","0.03%"
"Jun 14, 2021","2,566.4919","2,578.4629","2,580.9705","2,561.7358","-","-0.47%"
"Jun 11, 2021","2,578.6001","2,576.2822","2,586.5327","2,566.4214","-","0.08%"
"Jun 10, 2021","2,576.5210","2,567.1863","2,583.1345","2,545.1611","-","0.33%"
"Jun 09, 2021","2,567.9231","2,566.3799","2,578.9219","2,555.1135","-","0.06%"
"Jun 08, 2021","2,566.4060","2,546.3169","2,569.7646","2,536.9150","-","0.79%"
"Jun 07, 2021","2,546.3149","2,560.7014","2,576.8601","2,544.7869","-","-0.55%"
"Jun 04, 2021","2,560.4880","2,528.3433","2,563.2205","2,521.0342","-","1.27%"
"Jun 03, 2021","2,528.3291","2,548.5803","2,565.3882","2,517.1821","-","-0.79%"
"Jun 02, 2021","2,548.4431","2,533.0554","2,551.3003","2,532.1743","-","0.60%"
"Jun 01, 2021","2,533.3450","2,496.6621","2,562.2234","2,496.6621","-","1.71%"
"May 28, 2021","2,490.8621","2,500.3528","2,510.9790","2,488.5066","-","-0.36%"
"May 27, 2021","2,499.9170","2,465.2813","2,500.3118","2,454.3696","-","1.40%"
"May 26, 2021","2,465.2849","2,458.7556","2,472.0271","2,440.4900","-","0.27%"
"May 25, 2021","2,458.6521","2,467.2390","2,476.3306","2,453.7229","-","-0.34%"
"May 24, 2021","2,466.9780","2,429.4038","2,468.5232","2,421.5635","-","1.55%"
"May 21, 2021","2,429.3191","2,410.8843","2,438.5164","2,395.7883","-","0.79%"
"May 20, 2021","2,410.2671","2,434.3291","2,450.1309","2,405.5310","-","-0.99%"
"May 19, 2021","2,434.3279","2,489.8782","2,489.9604","2,405.7842","-","-2.31%"
"May 18, 2021","2,491.7959","2,499.0002","2,522.9700","2,468.5039","-","-0.29%"
"May 17, 2021","2,498.9851","2,470.6536","2,501.5598","2,466.7180","-","1.15%"
"May 14, 2021","2,470.5491","2,453.8931","2,484.4692","2,443.1003","-","0.68%"
"May 13, 2021","2,453.8921","2,527.2422","2,527.2422","2,443.5181","-","-2.90%"
"May 12, 2021","2,527.2671","2,517.6667","2,545.7837","2,516.5857","-","0.40%"
"May 11, 2021","2,517.1450","2,500.2280","2,522.0437","2,482.2107","-","0.66%"
"May 10, 2021","2,500.6411","2,515.6941","2,532.5464","2,484.4258","-","-0.44%"
"May 07, 2021","2,511.6079","2,494.0803","2,515.4631","2,487.1306","-","0.78%"
"May 06, 2021","2,492.0640","2,489.7344","2,507.9185","2,479.9958","-","-0.07%"
"May 05, 2021","2,493.7251","2,480.9692","2,504.4326","2,480.9692","-","0.52%"
"May 04, 2021","2,480.8359","2,448.2012","2,486.4866","2,448.2012","-","1.35%"
"May 03, 2021","2,447.7100","2,430.2524","2,457.1877","2,425.1775","-","0.75%"
"Apr 30, 2021","2,429.5950","2,442.4497","2,443.0564","2,410.1345","-","-0.55%"
"Apr 29, 2021","2,443.0391","2,424.4280","2,458.9890","2,420.8726","-","0.74%"
"Apr 28, 2021","2,425.0859","2,410.6604","2,446.2207","2,393.4458","-","0.59%"
"Apr 27, 2021","2,410.8899","2,391.7417","2,419.2036","2,391.7417","-","0.83%"
"Apr 26, 2021","2,390.9729","2,372.3999","2,396.3135","2,359.2292","-","0.75%"
"Apr 23, 2021","2,373.1311","2,359.0864","2,376.5247","2,349.9934","-","0.78%"
"Apr 22, 2021","2,354.6831","2,337.0552","2,359.2700","2,327.9707","-","0.63%"
"Apr 21, 2021","2,339.9150","2,350.1846","2,355.8242","2,321.7073","-","-0.44%"
"Apr 20, 2021","2,350.1831","2,357.6277","2,379.7656","2,331.9248","-","-0.26%"
"Apr 19, 2021","2,356.2170","2,344.4893","2,362.9705","2,338.7354","-","0.38%"
"Apr 16, 2021","2,347.2991","2,353.9902","2,363.6082","2,345.2625","-","-0.29%"
"Apr 15, 2021","2,354.1621","2,341.0840","2,355.5322","2,334.1055","-","0.54%"
"Apr 14, 2021","2,341.5020","2,275.8525","2,346.4131","2,275.7539","-","2.92%"
"Apr 13, 2021","2,275.1179","2,259.8020","2,283.9893","2,257.2039","-","0.69%"
"Apr 12, 2021","2,259.4250","2,264.5964","2,285.8652","2,247.7625","-","-0.17%"
"Apr 09, 2021","2,263.2859","2,270.2495","2,276.3582","2,258.3860","-","-0.31%"
"Apr 08, 2021","2,270.4150","2,256.5198","2,275.1987","2,248.3079","-","0.59%"
"Apr 07, 2021","2,257.0249","2,249.5696","2,262.4502","2,229.4309","-","0.29%"
"Apr 06, 2021","2,250.4109","2,233.3623","2,281.6145","2,233.3396","-","0.91%"
"Apr 05, 2021","2,230.0371","2,276.6140","2,278.2810","2,213.7246","-","-2.04%"
"Apr 01, 2021","2,276.5769","2,244.4287","2,282.6384","2,238.7476","-","1.41%"
"Mar 31, 2021","2,244.8320","2,252.1318","2,276.1125","2,240.2517","-","-0.33%"
"Mar 30, 2021","2,252.2781","2,279.2283","2,288.6882","2,245.4048","-","-1.18%"
"Mar 29, 2021","2,279.2271","2,274.4812","2,288.0774","2,246.2883","-","0.12%"
"Mar 26, 2021","2,276.5259","2,221.2207","2,282.8652","2,221.1755","-","2.53%"
"Mar 25, 2021","2,220.2529","2,276.5039","2,276.5039","2,200.9939","-","-2.52%"
"Mar 24, 2021","2,277.5339","2,215.8938","2,279.6953","2,204.9670","-","2.78%"
"Mar 23, 2021","2,215.8931","2,284.3381","2,284.3381","2,209.1035","-","-2.99%"
"Mar 22, 2021","2,284.2900","2,277.9089","2,292.5134","2,259.5515","-","0.11%"
"Mar 19, 2021","2,281.7361","2,249.9348","2,288.1411","2,230.3809","-","1.24%"
"Mar 18, 2021","2,253.7971","2,346.4136","2,351.6914","2,245.0007","-","-3.95%"
"Mar 17, 2021","2,346.5891","2,355.7717","2,364.6760","2,329.7019","-","-0.32%"
"Mar 16, 2021","2,354.1499","2,362.6655","2,364.0645","2,333.2637","-","-0.35%"
"Mar 15, 2021","2,362.4309","2,363.1494","2,380.0886","2,339.8203","-","-0.06%"
"Mar 12, 2021","2,363.9150","2,369.6392","2,373.9353","2,355.7229","-","-0.24%"
"Mar 11, 2021","2,369.6570","2,333.7275","2,371.1277","2,333.7244","-","1.61%"
"Mar 10, 2021","2,332.1841","2,330.0430","2,342.2373","2,308.1082","-","0.08%"
"Mar 09, 2021","2,330.2791","2,343.6975","2,361.4734","2,322.5667","-","-0.61%"
"Mar 08, 2021","2,344.4651","2,369.8560","2,408.9534","2,336.7314","-","-0.80%"
"Mar 05, 2021","2,363.4709","2,317.8311","2,369.7688","2,307.7205","-","2.08%"
"Mar 04, 2021","2,315.2490","2,276.4944","2,339.8406","2,253.5388","-","1.42%"
"Mar 03, 2021","2,282.8291","2,267.6816","2,294.5679","2,264.2815","-","0.56%"
"Mar 02, 2021","2,270.0991","2,270.0386","2,293.1616","2,243.7161","-","-0.14%"
"Mar 01, 2021","2,273.2729","2,309.1448","2,327.1599","2,260.9565","-","-0.91%"
"Feb 26, 2021","2,294.2510","2,349.0886","2,349.2444","2,292.0305","-","-2.39%"
"Feb 25, 2021","2,350.4451","2,356.9744","2,371.8169","2,335.9275","-","-0.13%"
"Feb 24, 2021","2,353.4829","2,310.6499","2,355.8660","2,300.9551","-","1.69%"
"Feb 23, 2021","2,314.3191","2,312.4570","2,343.3828","2,290.3120","-","0.05%"
"Feb 22, 2021","2,313.0669","2,262.9121","2,313.3804","2,262.9121","-","2.30%"
"Feb 19, 2021","2,261.0530","2,266.9509","2,286.9402","2,238.3691","-","-0.57%"
"Feb 18, 2021","2,273.9890","2,280.9780","2,300.2627","2,261.2900","-","-0.08%"
"Feb 17, 2021","2,275.7810","2,260.5212","2,284.3000","2,250.1028","-","0.61%"
"Feb 16, 2021","2,261.9341","2,237.0461","2,266.1768","2,237.0461","-","1.36%"
"Feb 12, 2021","2,231.5139","2,204.1584","2,237.8684","2,189.1536","-","1.14%"
"Feb 11, 2021","2,206.4680","2,210.5857","2,218.9741","2,196.4045","-","-0.19%"
"Feb 10, 2021","2,210.5730","2,211.6433","2,217.6475","2,200.7727","-","-0.05%"
"Feb 09, 2021","2,211.6860","2,203.3096","2,220.2778","2,192.4204","-","0.40%"
"Feb 08, 2021","2,202.8010","2,174.2205","2,206.1118","2,174.2205","-","1.57%"
"Feb 05, 2021","2,168.8279","2,156.7463","2,181.8928","2,156.6362","-","0.74%"
"Feb 04, 2021","2,152.9490","2,146.1956","2,155.4995","2,131.7693","-","0.37%"
"Feb 03, 2021","2,145.1160","2,126.0728","2,151.6946","2,121.8032","-","1.05%"
"Feb 02, 2021","2,122.8860","2,104.7063","2,133.5642","2,103.4038","-","0.85%"
"Feb 01, 2021","2,104.9890","2,077.8865","2,107.5627","2,075.4233","-","1.46%"
"Jan 29, 2021","2,074.6980","2,071.5122","2,100.2273","2,065.7747","-","0.10%"
"Jan 28, 2021","2,072.5330","2,081.0369","2,107.3396","2,065.8345","-","-0.64%"
"Jan 27, 2021","2,085.8330","2,088.3716","2,100.2810","2,066.2642","-","-0.12%"
"Jan 26, 2021","2,088.3621","2,077.0786","2,093.9297","2,066.3652","-","0.54%"
"Jan 25, 2021","2,077.0740","2,057.4424","2,078.3191","2,053.0840","-","0.96%"
"Jan 22, 2021","2,057.3979","2,085.0947","2,085.7510","2,041.5320","-","-1.37%"
"Jan 21, 2021","2,086.0530","2,087.0930","2,091.8933","2,078.9221","-","-0.07%"
"Jan 20, 2021","2,087.4700","2,082.8684","2,093.0149","2,076.8550","-","0.31%"
"Jan 19, 2021","2,081.0691","2,077.7461","2,090.3545","2,070.9712","-","0.14%"
"Jan 15, 2021","2,078.2251","2,104.9539","2,108.7092","2,067.7742","-","-1.19%"
"Jan 14, 2021","2,103.2461","2,086.9573","2,105.4983","2,072.8662","-","0.76%"
"Jan 13, 2021","2,087.3201","2,092.2129","2,113.1072","2,081.6775","-","-0.17%"
"Jan 12, 2021","2,090.9370","2,054.5647","2,092.7681","2,053.6201","-","1.76%"
"Jan 11, 2021","2,054.8220","2,063.9324","2,064.4436","2,038.1266","-","-0.42%"
"Jan 08, 2021","2,063.3979","2,045.2896","2,065.3738","2,042.5033","-","0.95%"
"Jan 07, 2021","2,044.0790","2,039.9587","2,056.2634","2,031.8324","-","0.15%"
"Jan 06, 2021","2,040.9410","2,030.6995","2,054.1692","2,027.7380","-","0.49%"
"Jan 05, 2021","2,030.9380","1,968.1547","2,036.6375","1,967.2054","-","3.08%"
"Jan 04, 2021","1,970.1930","1,978.9222","2,022.9038","1,962.7363","-","-0.34%"
"Dec 31, 2020","1,976.9550","1,969.8350","1,978.1934","1,957.7661","-","0.40%"
"Dec 30, 2020","1,969.0790","1,954.7863","1,972.3826","1,948.6028","-","0.78%"
"Dec 29, 2020","1,953.8870","1,940.6105","1,957.8300","1,938.6605","-","0.71%"
"Dec 28, 2020","1,940.1130","1,954.6281","1,964.6180","1,938.6444","-","-0.70%"
"Dec 24, 2020","1,953.8010","1,952.0490","1,962.8146","1,943.9143","-","0.03%"
"Dec 23, 2020","1,953.1680","1,923.2761","1,960.7634","1,906.0198","-","1.47%"
"Dec 22, 2020","1,924.8990","1,940.2244","1,944.3685","1,911.0533","-","-0.87%"
"Dec 21, 2020","1,941.7531","1,964.2271","1,964.2271","1,901.0079","-","-1.43%"
"Dec 18, 2020","1,969.9360","1,952.8925","1,972.9189","1,950.9077","-","0.87%"
"Dec 17, 2020","1,953.0040","1,932.8809","1,956.0463","1,932.8639","-","1.10%"
"Dec 16, 2020","1,931.8420","1,922.6377","1,933.6038","1,917.3840","-","0.44%"
"Dec 15, 2020","1,923.2920","1,908.1552","1,924.3676","1,900.6770","-","0.78%"
"Dec 14, 2020","1,908.3420","1,900.7738","1,920.5807","1,886.6298","-","0.39%"
"Dec 11, 2020","1,900.8910","1,904.9020","1,915.2087","1,890.9548","-","-0.20%"
"Dec 10, 2020","1,904.6949","1,870.5388","1,925.4600","1,870.5388","-","1.83%"
"Dec 09, 2020","1,870.3790","1,863.3954","1,881.5909","1,859.5092","-","0.37%"
"Dec 08, 2020","1,863.4030","1,868.4478","1,871.0380","1,855.4478","-","-0.27%"
"Dec 07, 2020","1,868.4000","1,877.2083","1,883.6844","1,852.8210","-","-0.61%"
"Dec 04, 2020","1,879.8831","1,871.3831","1,893.6227","1,871.0675","-","0.48%"
"Dec 03, 2020","1,870.8409","1,865.3336","1,874.3428","1,856.4084","-","0.11%"
"Dec 02, 2020","1,868.8571","1,851.7399","1,880.7426","1,842.0295","-","0.71%"
"Dec 01, 2020","1,855.7340","1,866.2725","1,879.2894","1,848.4048","-","-0.53%"
"Nov 30, 2020","1,865.5670","1,875.3563","1,882.9545","1,855.9380","-","-0.64%"
"Nov 27, 2020","1,877.4910","1,868.6038","1,881.1119","1,858.0444","-","0.13%"
"Nov 25, 2020","1,875.1169","1,865.5668","1,884.2472","1,864.5768","-","0.48%"
"Nov 24, 2020","1,866.0710","1,826.9219","1,867.8962","1,824.6895","-","2.18%"
"Nov 23, 2020","1,826.3199","1,810.1851","1,833.9808","1,809.7582","-","0.97%"
"Nov 20, 2020","1,808.7841","1,788.7355","1,810.0400","1,788.7355","-","0.99%"
"Nov 19, 2020","1,790.9709","1,800.5146","1,802.9781","1,784.4487","-","-0.67%"
"Nov 18, 2020","1,803.0129","1,788.4795","1,814.6198","1,783.5826","-","0.74%"
"Nov 17, 2020","1,789.8190","1,785.3735","1,794.6183","1,771.6753","-","0.25%"
"Nov 16, 2020","1,785.3690","1,766.4919","1,800.1689","1,764.4020","-","1.24%"
"Nov 13, 2020","1,763.4310","1,778.6783","1,780.4296","1,761.1582","-","-1.05%"
"Nov 12, 2020","1,782.0780","1,792.7552","1,803.9576","1,777.9554","-","-0.55%"
"Nov 11, 2020","1,791.9460","1,792.8184","1,827.4305","1,789.4296","-","0.01%"
"Nov 10, 2020","1,791.8420","1,758.7957","1,792.6202","1,746.1909","-","1.93%"
"Nov 09, 2020","1,757.9960","1,710.5107","1,782.9967","1,710.5107","-","3.13%"
"Nov 06, 2020","1,704.6541","1,730.9659","1,731.6315","1,703.2228","-","-1.70%"
"Nov 05, 2020","1,734.1260","1,733.4999","1,753.7570","1,719.5989","-","0.03%"
